,EntityName,Type,EntityCode,WikiLink,WikiDescrip,oneSentence,trustMetric,totalDocuments
20,Adobe,Technology,xv,https://en.wikipedia.org/wiki/Adobe_Inc.,"Adobe Inc., originally called Adobe Systems Incorporated, is an American multinational computer software company incorporated in Delaware and headquartered in San Jose, California. It has historically specialized in software for the creation and publication of a wide range of content, including graphics, photography, illustration, animation, multimedia/video, motion pictures, and print.","Adobe Inc., originally called Adobe Systems Incorporated, is an American multinational computer software company incorporated in Delaware and headquartered in San Jose, California.","15,514","7,913,638"
49,Ford,Automotive,wbH32,https://en.wikipedia.org/wiki/Ford_Motor_Company,"Ford Motor Company (commonly known as Ford) is an American multinational automobile manufacturer headquartered in Dearborn, Michigan, United States. It was founded by Henry Ford and incorporated on June 16, 1903. The company sells automobiles and commercial vehicles under the Ford brand, and luxury cars under its Lincoln luxury brand. Ford also owns Brazilian SUV manufacturer Troller, an 8% stake in Aston Martin of the United Kingdom and a 32% stake in China's Jiangling Motors. It also has joint ventures in China (Changan Ford), Taiwan (Ford Lio Ho), Thailand (AutoAlliance Thailand), Turkey (Ford Otosan), and Russia (Ford Sollers). The company is listed on the New York Stock Exchange and is controlled by the Ford family; they have minority ownership but the majority of the voting power.","Ford Motor Company (commonly known as Ford) is an American multinational automobile manufacturer headquartered in Dearborn, Michigan, United States.","14,996","2,820,932"
84,Jack Daniel's,Food + Beverage,5VB1,https://en.wikipedia.org/wiki/Jack_Daniel%27s,"Jack Daniel's is a brand of Tennessee whiskey. It is produced in Lynchburg, Tennessee, by the Jack Daniel Distillery, which has been owned by the Brown‚ÄìForman Corporation since 1956. Packaged in square bottles, Jack Daniel's ""Black Label"" Tennessee whiskey sold 12.5 million nine-liter cases in the fiscal year ending on April 30, 2017.",Jack Daniel's is a brand of Tennessee whiskey.,"14,423","1,546,843"
81,DHL,Shipping,MNz1,https://en.wikipedia.org/wiki/DHL,"DHL is an American founded, German logistics company providing courier, package delivery and express mail service, which is a division of the German logistics firm Deutsche Post. The company group delivers over 1.8 billion parcels per year. DHL Express is market leader for parcel services in Europe and Germany's main Courier and Parcel Service.","DHL is an American founded, German logistics company providing courier, package delivery and express mail service, which is a division of the German logistics firm Deutsche Post.","14,204","3,322,588"
7,Mercedes-Benz,Automotive,0oTf1,https://en.wikipedia.org/wiki/Mercedes-Benz,"Mercedes-Benz, commonly referred to as Mercedes and sometimes as Benz, is a German luxury and commercial vehicle automotive brand established in 1926. Mercedes-Benz AG (a Mercedes-Benz Group subsidiary established in 2019) is headquartered in Stuttgart, Germany. Mercedes-Benz AG produces consumer luxury vehicles and commercial vehicles badged as Mercedes-Benz.","Mercedes-Benz, commonly referred to as Mercedes and sometimes as Benz, is a German luxury and commercial vehicle automotive brand established in 1926.","13,841","14,974,657"
36,Visa,Technology,Ae21,https://en.wikipedia.org/wiki/Visa_Inc.,"Visa Inc. is an American multinational financial services corporation headquartered in San Francisco, California. It facilitates electronic funds transfers throughout the world, most commonly through Visa-branded credit cards, debit cards and prepaid cards. Visa is one of the world's most valuable companies. Visa does not issue cards, extend credit or set rates and fees for consumers; rather, Visa provides financial institutions with Visa-branded payment products that they then use to offer credit, debit, prepaid and cash access programs to their customers. In 2015, the Nilson Report, a publication that tracks the credit card industry, found that Visa's global network (known as VisaNet) processed 100 billion transactions during 2014 with a total volume of US$6.8 trillion.","Visa Inc. is an American multinational financial services corporation headquartered in San Francisco, California.","13,721","2,448,978"
57,L'Oréal,Consumer Goods,hx33,https://en.wikipedia.org/wiki/L%27Or%C3%A9al,"L'Oréal S.A. is a French personal care company headquartered in Clichy, Hauts-de-Seine with a registered office in Paris. It is the world's largest cosmetics company and has developed activities in the field concentrating on hair color, skin care, sun protection, make-up, perfume, and hair care.","L'Oréal S.A. is a French personal care company headquartered in Clichy, Hauts-de-Seine with a registered office in Paris.","13,515","10,151,412"
2,Amazon,Technology,Twn,https://en.wikipedia.org/wiki/Amazon_(company),"Amazon.com, Inc. is an American multinational technology company focusing on e-commerce, cloud computing, online advertising, digital streaming, and artificial intelligence. It has been referred to as ""one of the most influential economic and cultural forces in the world"", and is one of the world's most valuable brands. It is one of the Big Five American information technology companies, alongside Alphabet, Apple, Meta, and Microsoft.","Amazon.com, Inc. is an American multinational technology company focusing on e-commerce, cloud computing, online advertising, digital streaming, and artificial intelligence.","13,434","328,425,189"
90,Panasonic,Technology,1Lo,https://en.wikipedia.org/wiki/Panasonic,"Panasonic Holdings Corporation, formerly Matsushita Electric Industrial Co., Ltd. between 1935 and 2008 and the first incarnation of Panasonic Corporation between 2008 and 2022, is a major Japanese multinational conglomerate corporation, headquartered in Kadoma, Osaka. It was founded by K≈çnosuke Matsushita in 1918 as a lightbulb socket manufacturer. In addition to consumer electronics, of which it was the world's largest maker in the late 20th century, Panasonic offers a wide range of products and services, including rechargeable batteries, automotive and avionic systems, industrial systems, as well as home renovation and construction.","Panasonic Holdings Corporation, formerly Matsushita Electric Industrial Co., Ltd. between 1935 and 2008 and the first incarnation of Panasonic Corporation between 2008 and 2022, is a major Japanese multinational conglomerate corporation, headquartered in Kadoma, Osaka.","13,372","14,118,983"
43,Budweiser,Food + Beverage,fg1,https://en.wikipedia.org/wiki/Budweiser,"Budweiser is an American-style pale lager, part of AB InBev. Introduced in 1876 by Carl Conrad & Co. of St. Louis, Missouri, Budweiser has become a large selling beer company in the United States. Budweiser may also refer to an unrelated pale lager beer, originating in ƒåesk√© Budƒõjovice, Czech Republic (in German, Budweis) produced by the Budƒõjovick√Ω Budvar brewery.","Budweiser is an American-style pale lager, part of AB InBev.","13,097","4,493,265"
89,Hewlett Packard Enterprise,Technology,qhw23,https://en.wikipedia.org/wiki/Hewlett_Packard_Enterprise,"The Hewlett Packard Enterprise Company (HPE) is an American multinational information technology company based in Spring, Texas, United States. HPE was founded on November 1, 2015, in Palo Alto, California, as part of the splitting of the Hewlett-Packard company. It is a business-focused organization which works in servers, storage, networking, containerization software and consulting and support.","The Hewlett Packard Enterprise Company (HPE) is an American multinational information technology company based in Spring, Texas, United States.","12,847","540,139"
93,KFC,Food + Beverage,iJ9,https://en.wikipedia.org/wiki/KFC,"KFC (Kentucky Fried Chicken) is an American fast food restaurant chain headquartered in Louisville, Kentucky, that specializes in fried chicken. It is the world's second-largest restaurant chain (as measured by sales) after McDonald's, with 22,621 locations globally in 150 countries as of December 2019. The chain is a subsidiary of Yum! Brands, a restaurant company that also owns the Pizza Hut and Taco Bell chains.","KFC (Kentucky Fried Chicken) is an American fast food restaurant chain headquartered in Louisville, Kentucky, that specializes in fried chicken.","12,609","22,595,514"
96,Canon,Technology,QZO,https://en.wikipedia.org/wiki/Canon_Inc.,"Canon Inc. is a Japanese multinational corporation headquartered in _ta, Tokyo, Japan, specializing in optical, imaging, and industrial products, such as lenses, cameras, medical equipment, scanners, printers, and semiconductor manufacturing equipment. Canon has a primary listing on the Tokyo Stock Exchange and is a constituent of the TOPIX Core30 and Nikkei 225 index. It has a secondary listing on the New York Stock Exchange.","Canon Inc. is a Japanese multinational corporation headquartered in _ta, Tokyo, Japan, specializing in optical, imaging, and industrial products, such as lenses, cameras, medical equipment, scanners, printers, and semiconductor manufacturing equipment.","12,534","26,044,026"
6,Coca-Cola,Food + Beverage,UJ1,https://en.wikipedia.org/wiki/Coca-Cola,"The Coca-Cola Company is an American multinational beverage corporation founded in 1892, best known as the producer of Coca-Cola. The Coca-Cola Company also manufactures, sells, and markets other non-alcoholic beverage concentrates and syrups, and alcoholic beverages. The company's stock is listed on the NYSE and is part of the DJIA and the S&P 500 and S&P 100 indexes.","The Coca-Cola Company is an American multinational beverage corporation founded in 1892, best known as the producer of Coca-Cola.","12,170","1,442,480"
12,BMW,Automotive,QY,https://en.wikipedia.org/wiki/BMW,"Bayerische Motoren Werke AG, abbreviated as BMW, is a German multinational manufacturer of performance luxury vehicles and motorcycles headquartered in Munich, Bavaria, Germany. The corporation was founded in 1916 as a manufacturer of aircraft engines, which it produced from 1917 until 1918 and again from 1933 to 1945. Automobiles are marketed under the brands BMW, Mini and Rolls-Royce, and motorcycles are marketed under the brand BMW Motorrad. In 2017, BMW was the world's fourteenth-largest producer of motor vehicles, with 2,279,503 vehicles produced. The company has significant motor-sport history, especially in touring cars, sports cars, and the Isle of Man TT.","Bayerische Motoren Werke AG, abbreviated as BMW, is a German multinational manufacturer of performance luxury vehicles and motorcycles headquartered in Munich, Bavaria, Germany.","12,140","28,306,612"
18,Intel,Technology,LN3,https://en.wikipedia.org/wiki/Intel,"Intel Corporation is an American multinational corporation and technology company headquartered in Santa Clara, California. It is the world's largest semiconductor chip manufacturer by revenue, and is one of the developers of the x86 series of instruction sets, the instruction sets found in most personal computers (PCs). Incorporated in Delaware, Intel ranked No. 45 in the 2020 Fortune 500 list of the largest United States corporations by total revenue for nearly a decade, from 2007 to 2016 fiscal years.","Intel Corporation is an American multinational corporation and technology company headquartered in Santa Clara, California.","11,720","40,070,404"
40,Mastercard,Finance,xxA1,https://en.wikipedia.org/wiki/Mastercard,"Mastercard Inc. is the second-largest payment-processing corporation worldwide. It offers a range of financial services. Its headquarters are in Purchase, New York. Throughout the world, its principal business is to process payments between the banks of merchants and the card-issuing banks or credit unions of the purchasers who use the Mastercard-brand debit, credit and prepaid cards to make purchases. Mastercard has been publicly traded since 2006.",Mastercard Inc. is the second-largest payment-processing corporation worldwide.,"11,489","6,502,349"
98,Mini,Automotive,q5h,https://en.wikipedia.org/wiki/Mini_(marque),"Mini is a British automotive marque founded in 1969, owned by German automotive company BMW since 2000, and used by them for a range of small cars assembled in the United Kingdom, Austria and the Netherlands. The word Mini has been used in car model names since 1959, and in 1969 it became a marque in its own right when the name ""Mini"" replaced the separate ""Austin Mini"" and ""Morris Mini"" car model names. BMW acquired the marque in 1994 when it bought Rover Group (formerly British Leyland), which owned Mini, among other brands.","Mini is a British automotive marque founded in 1969, owned by German automotive company BMW since 2000, and used by them for a range of small cars assembled in the United Kingdom, Austria and the Netherlands.","11,166","28,204,337"
30,Accenture,Consulting,KOf1,https://en.wikipedia.org/wiki/Accenture,"Accenture plc is an Irish-American professional services company based in Dublin, specializing in information technology (IT) services and consulting. A Fortune Global 500 company, it reported revenues of $61.6 billion in 2022. Accenture's current clients include 91 of the Fortune Global 100 and more than three-quarters of the Fortune Global 500. As of 2022, Accenture is considered the largest consulting firm in the world by number of employees.","Accenture plc is an Irish-American professional services company based in Dublin, specializing in information technology (IT) services and consulting.","10,645","1,438,707"
47,Volkswagen,Automotive,Nq8,https://en.wikipedia.org/wiki/Volkswagen,"Volkswagen, is a German motor vehicle manufacturer headquartered in Wolfsburg, Lower Saxony, Germany. Founded in 1937 by the German Labour Front under the Nazi Party and revived into a global brand post-World War II by the British Army Officer Ivan Hirst, it is known for the iconic Beetle and serves as the flagship brand of the Volkswagen Group, the largest automotive manufacturer by worldwide sales in 2016 and 2017. The group's biggest market is in China, which delivers 40 percent of its sales and profits.","Volkswagen, is a German motor vehicle manufacturer headquartered in Wolfsburg, Lower Saxony, Germany.","10,591","13,063,045"
14,Cisco,Technology,Csd,https://en.wikipedia.org/wiki/Cisco,"Cisco Systems, Inc., commonly known as Cisco, is an American-based multinational digital communications technology conglomerate corporation headquartered in San Jose, California. Cisco develops, manufactures, and sells networking hardware, software, telecommunications equipment and other high-technology services and products. Cisco specializes in specific tech markets, such as the Internet of Things (IoT), domain security, videoconferencing, and energy management with leading products including Webex, OpenDNS, Jabber, Duo Security, and Jasper. Cisco is one of the largest technology companies in the world ranking 74 on the Fortune 100 with over $51 billion in revenue and nearly 80,000 employees.","Cisco Systems, Inc., commonly known as Cisco, is an American-based multinational digital communications technology conglomerate corporation headquartered in San Jose, California.","10,511","7,068,217"
9,Nike,Fashion,XrIh1,"https://en.wikipedia.org/wiki/Nike,_Inc.","Nike, Inc. is an American multinational corporation that is engaged in the design, development, manufacturing, and worldwide marketing and sales of footwear, apparel, equipment, accessories, and services. The company is headquartered near Beaverton, Oregon, in the Portland metropolitan area. It is the world's largest supplier of athletic shoes and apparel and a major manufacturer of sports equipment, with revenue in excess of US$37.4 billion in its fiscal year 2020 (ending May 31, 2020). As of 2020, it employed 76,700 people worldwide. In 2020, the brand alone was valued in excess of $32 billion, making it the most valuable brand among sports businesses. Previously, in 2017, the Nike brand was valued at $29.6 billion. Nike ranked 89th in the 2018 Fortune 500 list of the largest United States corporations by total revenue.","Nike, Inc. is an American multinational corporation that is engaged in the design, development, manufacturing, and worldwide marketing and sales of footwear, apparel, equipment, accessories, and services.","10,507","60,483,114"
5,Toyota,Automotive,K38,https://en.wikipedia.org/wiki/Toyota,"Toyota Motor Corporation is a Japanese multinational automotive manufacturer headquartered in Toyota City, Aichi, Japan. It was founded by Kiichiro Toyoda and incorporated on August 28, 1937 (1937-08-28). Toyota is one of the largest automobile manufacturers in the world, producing about 10 million vehicles per year.","Toyota Motor Corporation is a Japanese multinational automotive manufacturer headquartered in Toyota City, Aichi, Japan.","10,362","57,526,153"
0,Apple,Technology,Od,https://en.wikipedia.org/wiki/Apple_Inc.,"Apple Inc. is an American multinational technology company headquartered in Cupertino, California, United States. Apple is the largest technology company by revenue (totaling US$365.8 billion in 2021) and, as of June 2022, is the world's biggest company by market capitalization, the fourth-largest personal computer vendor by unit sales and second-largest mobile phone manufacturer. It is one of the Big Five American information technology companies, alongside Alphabet, Amazon, Meta, and Microsoft.","Apple Inc. is an American multinational technology company headquartered in Cupertino, California, United States.","10,343","99,296,174"
82,Caterpillar,Automotive,dON2,https://en.wikipedia.org/wiki/Caterpillar_Inc.,"Caterpillar Inc. (stock symbol CAT) is an American Fortune 500 corporation and the world's largest construction-equipment manufacturer. In 2018, Caterpillar was ranked number 65 on the Fortune 500 list and number 238 on the Global Fortune 500 list. Caterpillar stock is a component of the Dow Jones Industrial Average.",Caterpillar Inc. (stock symbol CAT) is an American Fortune 500 corporation and the world's largest construction-equipment manufacturer.,"10,325","1,363,749"
45,Audi,Automotive,Gd,https://en.wikipedia.org/wiki/Audi,"Audi AG is a German automotive manufacturer of luxury vehicles headquartered in Ingolstadt, Bavaria, Germany. As a subsidiary of its parent company, the Volkswagen Group, Audi produces vehicles in nine production facilities worldwide. The origins of the company are complex, going back to the early 20th century and the initial enterprises (Horch and the Audiwerke) founded by engineer August Horch (1868–1951); and two other manufacturers (DKW and Wanderer), leading to the foundation of Auto Union in 1932. The modern Audi era began in the 1960s, when Auto Union was acquired by Volkswagen from Daimler-Benz. After relaunching the Audi brand with the 1965 introduction of the Audi F103 series, Volkswagen merged Auto Union with NSU Motorenwerke in 1969, thus creating the present-day form of the company.","Audi AG is a German automotive manufacturer of luxury vehicles headquartered in Ingolstadt, Bavaria, Germany.","10,314","22,180,095"
25,Honda,Automotive,rz3,https://en.wikipedia.org/wiki/Honda,"Honda Motor Co., Ltd. is a Japanese public multinational conglomerate manufacturer of automobiles, motorcycles, and power equipment, headquartered in Minato, Tokyo, Japan. Honda has been the world's largest motorcycle manufacturer since 1959, reaching a production of 400 million by the end of 2019, as well as the world's largest manufacturer of internal combustion engines measured by volume, producing more than 14 million internal combustion engines each year. Honda became the second-largest Japanese automobile manufacturer in 2001. In 2015, Honda was the eighth largest automobile manufacturer in the world.","Honda Motor Co., Ltd. is a Japanese public multinational conglomerate manufacturer of automobiles, motorcycles, and power equipment, headquartered in Minato, Tokyo, Japan.","10,289","71,659,220"
41,Adidas,Fashion,qr01,https://en.wikipedia.org/wiki/Adidas,"Adidas AG is a German multinational corporation, founded and headquartered in Herzogenaurach, Bavaria, that designs and manufactures shoes, clothing and accessories. It is the largest sportswear manufacturer in Europe, and the second largest in the world, after Nike. It is the holding company for the Adidas Group, which consists 8.33% stake of the football club Bayern München, and Runtastic, an Austrian fitness technology company. Adidas's revenue for 2018 was listed at €21.915 billion.","Adidas AG is a German multinational corporation, founded and headquartered in Herzogenaurach, Bavaria, that designs and manufactures shoes, clothing and accessories.","10,223","28,114,374"
99,Sephora,Fashion,tG57,https://en.wikipedia.org/wiki/Sephora,"Sephora is a French multinational retailer of personal care and beauty products. Featuring nearly 340 brands, along with its own private label, Sephora Collection, Sephora offers beauty products including cosmetics, skincare, body, fragrance, nail color, beauty tools, body lotions and haircare. The company was founded in Limoges in 1969 and is currently based in Neuilly-sur-Seine, France.",Sephora is a French multinational retailer of personal care and beauty products.,"9,776","6,885,639"
77,Kellogg's,Food + Beverage,Uxh2,https://en.wikipedia.org/wiki/Kellogg%27s,"The Kellogg Company, doing business as Kellogg's, is an American multinational food manufacturing company headquartered in Battle Creek, Michigan, United States. Kellogg's produces cereal and convenience foods, including crackers and toaster pastries, and markets their products by several well known brands including Corn Flakes, Rice Krispies, Frosted Flakes, Pringles, Eggo, and Cheez-It. Kellogg's mission statement is ""Nourishing families so they can flourish and thrive"".","The Kellogg Company, doing business as Kellogg's, is an American multinational food manufacturing company headquartered in Battle Creek, Michigan, United States.","9,639","2,548,737"
15,Instagram,Technology,5py82,https://en.wikipedia.org/wiki/Instagram,Instagram is a photo and video sharing social networking service owned by American company Meta Platforms. The app allows users to upload media that can be edited with filters and organized by hashtags and geographical tagging. Posts can be shared publicly or with preapproved followers.,Instagram is a photo and video sharing social networking service owned by American company Meta Platforms.,"9,061","1,534,604,080"
63,Red Bull,Food + Beverage,RTf,https://en.wikipedia.org/wiki/Red_Bull,"Red Bull is a brand of energy drinks of Austrian company Red Bull GmbH. With 38% market share, it is the most popular energy drink brand as of 2019. Since its launch in 1987, more than 100 billion cans of Red Bull have been sold worldwide, including 9.8 billion in 2021.",Red Bull is a brand of energy drinks of Austrian company Red Bull GmbH.,"8,652","27,968,096"
60,Nissan,Automotive,Aw5,https://en.wikipedia.org/wiki/Nissan,"Nissan Motor Co., Ltd., trading as Nissan Motor Corporation and often shortened to Nissan, is a Japanese multinational automobile manufacturer headquartered in Nishi-ku, Yokohama, Japan. The company sells its vehicles under the Nissan, Infiniti, and Datsun brands, with in-house performance tuning products (including cars) labelled Nismo. The company traces back to the beginnings of the 20th century, with the Nissan zaibatsu, now called Nissan Group.","Nissan Motor Co., Ltd., trading as Nissan Motor Corporation and often shortened to Nissan, is a Japanese multinational automobile manufacturer headquartered in Nishi-ku, Yokohama, Japan.","8,616","32,933,809"
58,Philips,Technology,Q76,https://en.wikipedia.org/wiki/Philips,"Koninklijke Philips N.V., commonly shortened to Philips, is a Dutch multinational conglomerate corporation that was founded in Eindhoven in 1891. Since 1997, it has been mostly headquartered in Amsterdam, though the Benelux headquarters is still in Eindhoven. Philips was formerly one of the largest electronics companies in the world, but is currently focused on the area of health technology, having divested its other divisions.","Koninklijke Philips N.V., commonly shortened to Philips, is a Dutch multinational conglomerate corporation that was founded in Eindhoven in 1891.","8,507","139,624"
91,Johnson & Johnson,Consumer Goods,KoH,https://en.wikipedia.org/wiki/Johnson_%26_Johnson,"Johnson & Johnson (J&J) is an American multinational corporation founded in 1886 that develops medical devices, pharmaceuticals, and consumer packaged goods. Its common stock is a component of the Dow Jones Industrial Average and the company is ranked No. 36 on the 2021 Fortune 500 list of the largest United States corporations by total revenue.","Johnson & Johnson (J&J) is an American multinational corporation founded in 1886 that develops medical devices, pharmaceuticals, and consumer packaged goods.","8,470","3,674,459"
83,Xiaomi,Technology,uZmg2,https://en.wikipedia.org/wiki/Xiaomi,"Xiaomi Corporation, commonly known as Xiaomi and registered as Xiaomi Inc., is a Chinese designer and manufacturer of consumer electronics and related software, home appliances, and household items. Behind Samsung, it is the second largest manufacturer of smartphones in the world, most of which run the MIUI operating system. The company is ranked 338th and is the youngest company on the Fortune Global 500.","Xiaomi Corporation, commonly known as Xiaomi and registered as Xiaomi Inc., is a Chinese designer and manufacturer of consumer electronics and related software, home appliances, and household items.","8,404","26,485,640"
62,Lego,Consumer Goods,aM4,https://en.wikipedia.org/wiki/Lego,"Lego is a line of plastic construction toys that are manufactured by The Lego Group, a privately held company based in Billund, Denmark. The company's flagship product, Lego, consists of variously colored interlocking plastic bricks accompanying an array of gears, figurines called minifigures, and various other parts. Lego pieces can be assembled and connected in many ways to construct objects, including vehicles, buildings, and working robots. Anything constructed can be taken apart again, and the pieces reused to make new things.","Lego is a line of plastic construction toys that are manufactured by The Lego Group, a privately held company based in Billund, Denmark.","8,386","27,485,967"
38,Sony,Entertainment,j17,https://en.wikipedia.org/wiki/Sony,"Sony Group Corporation, commonly stylized as SONY, is a Japanese multinational conglomerate corporation headquartered in Minato, Tokyo, Japan. As a major technology company, it operates as one of the world's largest manufacturers of consumer and professional electronic products, the largest video game console company and the largest video game publisher. Through Sony Entertainment Inc, it is one of the largest music companies (largest music publisher and second largest record label) and the third largest film studio, making it one of the most comprehensive media companies. It is the largest technology and media conglomerate in Japan. It is also recognized as the most cash-rich Japanese company, with net cash reserves of ¥2 trillion.","Sony Group Corporation, commonly stylized as SONY, is a Japanese multinational conglomerate corporation headquartered in Minato, Tokyo, Japan.","8,246","73,793,524"
16,Facebook,Technology,AJAv,https://en.wikipedia.org/wiki/Facebook,"Facebook is an online social media and social networking service owned by American company Meta Platforms. Founded in 2004 by Mark Zuckerberg with fellow Harvard College students and roommates Eduardo Saverin, Andrew McCollum, Dustin Moskovitz, and Chris Hughes, its name comes from the face book directories often given to American university students. Membership was initially limited to Harvard students, gradually expanding to other North American universities and, since 2006, anyone over 13 years old. As of July 2022, Facebook claimed 2.93 billion monthly active users, and ranked third worldwide among the most visited websites as of July 2022. It was the most downloaded mobile app of the 2010s.",Facebook is an online social media and social networking service owned by American company Meta Platforms.,"8,233","7,747,490"
53,Airbnb,Technology,cPva2,https://en.wikipedia.org/wiki/Airbnb,"Airbnb, Inc., based in San Francisco, California, operates an online marketplace focused on short-term homestays and experiences. The company acts as a broker and charges a commission from each booking. The company was founded in 2008 by Brian Chesky, Nathan Blecharczyk, and Joe Gebbia. Airbnb is a shortened version of its original name, AirBedandBreakfast.com. The company has been the subject of criticism for lack of regulations and enabling increases in home rents.","Airbnb, Inc., based in San Francisco, California, operates an online marketplace focused on short-term homestays and experiences.","8,206","24,594,783"
